Date,target,prediction
2016-03-28,26.29750061035156,26.560475616455076
2016-03-29,26.920000076293945,27.189200077056885
2016-03-30,27.38999938964844,27.663899383544926
2016-03-31,27.247499465942383,27.51997446060181
2016-04-01,27.497499465942383,27.772474460601806
2016-04-04,27.780000686645508,28.057800693511965
2016-04-05,27.45249938964844,27.727024383544926
2016-04-06,27.739999771118164,28.017399768829346
2016-04-07,27.13500022888184,27.40635023117066
2016-04-08,27.165000915527344,27.436650924682617
2016-04-11,27.2549991607666,27.527549152374267
2016-04-12,27.61000061035156,27.886100616455074
2016-04-13,28.01000022888184,28.29010023117066
2016-04-14,28.024999618530277,28.30524961471558
2016-04-15,27.462499618530277,27.73712461471558
2016-04-18,26.8700008392334,27.13870084762573
2016-04-19,26.727500915527344,26.994775924682617
2016-04-20,26.78249931335449,27.050324306488033
2016-04-21,26.49250030517578,26.75742530822754
2016-04-22,26.420000076293945,26.684200077056886
2016-04-25,26.270000457763672,26.53270046234131
2016-04-26,26.087499618530277,26.34837461471558
2016-04-27,24.45499992370605,24.699549922943113
2016-04-28,23.707500457763672,23.94457546234131
2016-04-29,23.434999465942383,23.669349460601808
2016-05-02,23.40999984741211,23.64409984588623
2016-05-03,23.795000076293945,24.032950077056885
2016-05-04,23.54750061035156,23.782975616455076
2016-05-05,23.309999465942383,23.543099460601805
2016-05-06,23.18000030517578,23.41180030822754
2016-05-09,23.19750022888184,23.42947523117066
2016-05-10,23.354999542236328,23.588549537658693
2016-05-11,23.127500534057617,23.358775539398195
2016-05-12,22.584999084472656,22.810849075317382
2016-05-13,22.6299991607666,22.856299152374266
2016-05-16,23.46999931335449,23.704699306488035
2016-05-17,23.372499465942383,23.60622446060181
2016-05-18,23.63999938964844,23.876399383544925
2016-05-19,23.549999237060547,23.785499229431153
2016-05-20,23.80500030517578,24.04305030822754
2016-05-23,24.107500076293945,24.348575077056886
2016-05-24,24.475000381469727,24.719750385284424
2016-05-25,24.905000686645508,25.154050693511962
2016-05-26,25.102500915527344,25.353525924682618
2016-05-27,25.087499618530277,25.33837461471558
2016-05-31,24.96500015258789,25.21465015411377
2016-06-01,24.614999771118164,24.861149768829346
2016-06-02,24.43000030517578,24.67430030822754
2016-06-03,24.479999542236328,24.72479953765869
2016-06-06,24.65749931335449,24.904074306488035
2016-06-07,24.75749969482422,25.00507469177246
2016-06-08,24.73500061035156,24.982350616455076
2016-06-09,24.912500381469727,25.161625385284424
2016-06-10,24.707500457763672,24.95457546234131
2016-06-13,24.334999084472656,24.578349075317384
2016-06-14,24.364999771118164,24.608649768829345
2016-06-15,24.28499984741211,24.52784984588623
2016-06-16,24.387500762939453,24.631375770568848
2016-06-17,23.832500457763672,24.070825462341308
2016-06-20,23.774999618530277,24.01274961471558
2016-06-21,23.977500915527344,24.217275924682617
2016-06-22,23.887500762939453,24.12637577056885
2016-06-23,24.024999618530277,24.26524961471558
2016-06-24,23.350000381469727,23.583500385284424
2016-06-27,23.01000022888184,23.240100231170658
2016-06-28,23.397499084472656,23.63147407531738
2016-06-29,23.600000381469727,23.836000385284425
2016-06-30,23.899999618530277,24.13899961471558
2016-07-01,23.97249984741211,24.21222484588623
2016-07-05,23.747499465942383,23.98497446060181
2016-07-06,23.88249969482422,24.12132469177246
2016-07-07,23.98500061035156,24.224850616455075
2016-07-08,24.170000076293945,24.411700077056885
2016-07-11,24.2450008392334,24.487450847625734
2016-07-12,24.354999542236328,24.59854953765869
2016-07-13,24.217500686645508,24.45967569351196
2016-07-14,24.69750022888184,24.944475231170657
2016-07-15,24.69499969482422,24.94194969177246
2016-07-18,24.957500457763672,25.207075462341308
2016-07-19,24.967500686645508,25.21717569351196
2016-07-20,24.989999771118164,25.239899768829346
2016-07-21,24.857500076293945,25.106075077056886
2016-07-22,24.665000915527344,24.91165092468262
2016-07-25,24.334999084472656,24.578349075317384
2016-07-26,24.167499542236328,24.409174537658693
2016-07-27,25.737499237060547,25.994874229431154
2016-07-28,26.084999084472656,26.345849075317382
2016-07-29,26.052499771118164,26.313024768829347
2016-08-01,26.512500762939453,26.777625770568847
2016-08-02,26.1200008392334,26.38120084762573
2016-08-03,26.44750022888184,26.71197523117066
2016-08-04,26.467500686645508,26.732175693511962
2016-08-05,26.8700008392334,27.13870084762573
2016-08-08,27.092500686645508,27.363425693511964
2016-08-09,27.20249938964844,27.474524383544924
2016-08-10,27.0,27.27
2016-08-11,26.982500076293945,27.252325077056884
2016-08-12,27.045000076293945,27.315450077056884
2016-08-15,27.3700008392334,27.643700847625734
2016-08-16,27.34499931335449,27.618449306488035
2016-08-17,27.30500030517578,27.57805030822754
2016-08-18,27.270000457763672,27.54270046234131
2016-08-19,27.34000015258789,27.61340015411377
2016-08-22,27.127500534057617,27.398775539398194
2016-08-23,27.212499618530277,27.48462461471558
2016-08-24,27.00749969482422,27.27757469177246
2016-08-25,26.89249992370605,27.161424922943112
2016-08-26,26.73500061035156,27.002350616455075
2016-08-29,26.70499992370605,26.97204992294311
2016-08-30,26.5,26.765
2016-08-31,26.524999618530277,26.79024961471558
2016-09-01,26.6825008392334,26.949325847625733
2016-09-02,26.9325008392334,27.201825847625734
2016-09-06,26.924999237060547,27.194249229431154
2016-09-07,27.09000015258789,27.36090015411377
2016-09-08,26.3799991607666,26.643799152374267
2016-09-09,25.78249931335449,26.040324306488035
2016-09-12,26.36000061035156,26.623600616455075
2016-09-13,26.987499237060547,27.257374229431154
2016-09-14,27.9424991607666,28.221924152374267
2016-09-15,28.89249992370605,29.181424922943112
2016-09-16,28.729999542236328,29.01729953765869
