Date,target,prediction
2021-02-12,135.3699951171875,136.72369506835938
2021-02-16,133.19000244140625,134.52190246582032
2021-02-17,130.83999633789062,132.14839630126954
2021-02-18,129.7100067138672,131.00710678100586
2021-02-19,129.8699951171875,131.16869506835937
2021-02-22,126.0,127.26
2021-02-23,125.86000061035156,127.11860061645508
2021-02-24,125.3499984741211,126.6034984588623
2021-02-25,120.98999786376952,122.19989784240721
2021-02-26,121.26000213623048,122.47260215759279
2021-03-01,127.79000091552734,129.06790092468262
2021-03-02,125.12000274658205,126.37120277404787
2021-03-03,122.05999755859376,123.2805975341797
2021-03-04,120.12999725341795,121.33129722595214
2021-03-05,121.41999816894533,122.63419815063479
2021-03-08,116.36000061035156,117.52360061645508
2021-03-09,121.08999633789062,122.30089630126953
2021-03-10,119.9800033569336,121.17980339050293
2021-03-11,121.95999908447266,123.17959907531738
2021-03-12,121.02999877929688,122.24029876708984
2021-03-15,123.98999786376952,125.22989784240721
2021-03-16,125.56999969482422,126.82569969177246
2021-03-17,124.76000213623048,126.00760215759279
2021-03-18,120.52999877929688,121.73529876708984
2021-03-19,119.98999786376952,121.18989784240722
2021-03-22,123.38999938964844,124.62389938354492
2021-03-23,122.54000091552734,123.76540092468262
2021-03-24,120.08999633789062,121.29089630126953
2021-03-25,120.58999633789062,121.79589630126954
2021-03-26,121.20999908447266,122.42209907531739
